line,order,stationName,lat,lng,hasElevatorInstalled,hasLiftInstalled
I4101,8,진위역,37.109771,127.062342,true,false
I4101,9,오산역,37.145472,127.066708,true,false
I4101,10,오산대역,37.169401,127.063081,true,false
I4101,11,세마역,37.187288,127.043279,true,false
I4101,12,서동탄역,37.195675,127.051893,true,false
I4101,13,병점역,37.206821,127.033268,true,false
I4101,14,세류역,37.244102,127.013772,true,false
I4101,15,수원역,37.266162,126.999821,true,false
I4101,16,화서역,37.28399,126.989581,true,false
I4101,17,성균관대역,37.300344,126.970861,true,false
I4101,18,의왕역,37.320648,126.948099,true,false
I4101,19,당정역,37.34338,126.948388,true,false
I4101,20,군포역,37.353732,126.948517,true,false
I4101,21,금정역,37.371957,126.943411,true,false
I4101,22,명학역,37.384435,126.935579,true,false
I4101,23,안양역,37.401929,126.922647,true,false
I4101,24,관악역,37.419578,126.908476,true,false
I4101,25,석수역,37.435161,126.902233,true,false
I4101,26,금천구청역,37.45576,126.894344,true,false
I4101,27,독산역,37.465994,126.889508,true,false
I4101,28,가산디지털단지역,37.481568,126.882628,true,false
I4101,29,구로역,37.503178,126.882037,true,false
I4101,30,신도림역,37.508983,126.891513,true,false
I4101,31,영등포역,37.515756,126.907411,true,false
I4101,32,신길역,37.517018,126.917743,true,false
I4101,33,대방역,37.513392,126.926407,true,false
I4101,34,노량진역,37.514072,126.941671,true,false
I4101,35,용산역,37.52989,126.964775,true,false
I4101,36,남영역,37.540597,126.971171,true,false
I4101,37,서울역,37.55585,126.972103,true,false
I4101,38,시청,37.565211,126.977207,true,false
I4101,39,종각,37.570203,126.983116,true,false
I4101,40,종로3가,37.570429,126.992095,true,false
I4101,41,종로5가,37.570971,127.0019,true,false
I4101,42,동대문,37.571646,127.01069,true,false
I4101,43,동묘앞,37.573265,127.016459,true,false
I4101,44,신설동,37.576117,127.02471,true,false
I4101,45,제기동,37.578116,127.034902,true,false
I4101,46,청량리(서울시립대입구),37.580148,127.045063,true,false
I4101,47,광명역,37.415995,126.884523,true,false
S1102,1,잠실나루,37.520688,127.103836,true,false
S1102,2,잠실(송파구청),37.513305,127.100129,true,false
S1102,3,잠실새내,37.511653,127.086224,true,false
S1102,4,종합운동장,37.511128,127.073841,true,false
S1102,5,삼성(무역센터),37.508827,127.063203,true,false
S1102,6,선릉,37.504257,127.048174,true,false
S1102,7,역삼,37.500658,127.03643,true,false
S1102,8,강남,37.49805,127.02795,true,false
S1102,9,교대(법원·검찰청),37.493957,127.014431,true,false
